# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 721  of event 'cpu/mem-loads/pp'
# Total weight : 15608
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked
#
# Overhead       Samples  Local Weight  Memory access             Symbol                                                                         Shared Object      Data Symbol                                   Data Object                                   Snoop         TLB access              Locked
# ........  ............  ............  ........................  .............................................................................  .................  ............................................  ............................................  ............  ......................  ......
#
     3.01%             1  470           L1 hit                    [.] mo_nln_matrix_mp_nlnmat03_                                                 kernel-858.exe     [.] 0x00007fff6dc38050                        [stack]                                       None          L1 or L2 hit            No    
     2.03%             1  317           L3 miss                   [.] mo_prod_loss_mp_imp_prod_loss_                                             kernel-858.exe     [.] 0x00007fff6fbe0990                        [stack]                                       N/A           L1 or L2 hit            No    
     1.67%             1  261           L1 hit                    [k] kiblnd_launch_tx                                                           [ko2iblnd]         [k] __per_cpu_end+0xffff8820267893c8          [kernel.kallsyms]                             None          L1 or L2 hit            Yes   
     1.48%             1  231           L2 hit                    [.] mo_lin_matrix_mp_linmat02_                                                 kernel-858.exe     [.] 0x00007fff6dc391b0                        [stack]                                       None          L1 or L2 hit            No    
     1.45%             1  226           LFB hit                   [.] mo_nln_matrix_mp_nlnmat_finit_                                             kernel-858.exe     [.] 0x00007fff6dc396d8                        [stack]                                       None          L1 or L2 hit            No    
     1.36%             1  213           L3 miss                   [.] mo_prod_loss_mp_imp_prod_loss_                                             kernel-858.exe     [.] 0x00007fff6fb118c0                        [stack]                                       N/A           L1 or L2 hit            No    
     1.36%             1  212           LFB hit                   [.] __intel_ssse3_rep_memcpy                                                   kernel-858.exe     [.] 0x00007fff6f6f30a0                        [stack]                                       None          L1 or L2 hit            No    
     1.32%             1  206           L3 miss                   [.] mo_nln_matrix_mp_nlnmat04_                                                 kernel-858.exe     [.] 0x00007fff6fb21b80                        [stack]                                       N/A           L1 or L2 hit            No    
     1.22%             1  190           LFB hit                   [.] mo_prod_loss_mp_imp_prod_loss_                                             kernel-858.exe     [.] 0x00007fff6dc32990                        [stack]                                       None          L1 or L2 hit            No    
     1.20%             1  187           LFB hit                   [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6ef9a630                        [stack]                                       None          L1 or L2 hit            No    
     1.20%             1  187           L3 miss                   [.] mo_lu_solve_mp_lu_slv02_                                                   kernel-858.exe     [.] 0x00007fff6de8ad40                        [stack]                                       N/A           L1 or L2 hit            No    
     1.08%             1  168           L2 hit                    [.] mo_nln_matrix_mp_nlnmat_finit_                                             kernel-858.exe     [.] 0x00007fff6dc38378                        [stack]                                       None          L1 or L2 hit            No    
     1.04%             1  162           L3 miss                   [.] strcmp                                                                     ld-2.17.so         [.] 0x00002ad35d84e1bd                        libiomp5.so                                   N/A           L1 or L2 hit            No    
     1.03%             1  161           L3 miss                   [.] mo_lu_solve_mp_lu_slv08_                                                   kernel-858.exe     [.] 0x00007fff6deeac00                        [stack]                                       N/A           L1 or L2 hit            No    
     0.91%             1  142           L3 hit                    [k] copy_user_generic_string                                                   [kernel.kallsyms]  [k] __per_cpu_end+0xffff880fe896c044          [kernel.kallsyms]                             None          L1 or L2 hit            No    
     0.85%             1  133           L2 hit                    [.] mo_prod_loss_mp_imp_prod_loss_                                             kernel-858.exe     [.] 0x00007fff6dc38b30                        [stack]                                       None          L1 or L2 hit            No    
     0.70%             1  109           LFB hit                   [.] mo_nln_matrix_mp_nlnmat_finit_                                             kernel-858.exe     [.] 0x00007fff6dc37770                        [stack]                                       None          L1 or L2 hit            No    
     0.65%             1  101           L1 hit                    [k] __inc_zone_page_state                                                      [kernel.kallsyms]  [k] __per_cpu_end+0xffffea00300f9580          [kernel.kallsyms]                             None          L1 or L2 hit            No    
     0.65%             1  101           L3 hit                    [.] mo_nln_matrix_mp_nlnmat02_                                                 kernel-858.exe     [.] 0x00007fff6f733680                        [stack]                                       None          L1 or L2 hit            No    
     0.63%             1  99            LFB hit                   [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6efcc7e0                        [stack]                                       None          L1 or L2 hit            No    
     0.63%             1  98            LFB hit                   [.] mo_prod_loss_mp_imp_prod_loss_                                             kernel-858.exe     [.] 0x00007fff6fafff50                        [stack]                                       None          L1 or L2 hit            No    
     0.60%             1  93            LFB hit                   [.] mo_nln_matrix_mp_nlnmat04_                                                 kernel-858.exe     [.] 0x00007fff6fb33030                        [stack]                                       None          L1 or L2 hit            No    
     0.58%             1  91            LFB hit                   [.] __intel_ssse3_rep_memcpy                                                   kernel-858.exe     [.] 0x00007fff6f714c10                        [stack]                                       None          L1 or L2 hit            No    
     0.58%             1  90            LFB hit                   [.] mo_lu_factor_mp_lu_fac19_                                                  kernel-858.exe     [.] 0x00007fff6e2db380                        [stack]                                       None          L1 or L2 hit            No    
     0.57%             1  89            L2 hit                    [.] mo_nln_matrix_mp_nlnmat_finit_                                             kernel-858.exe     [.] 0x00007fff6e629a70                        [stack]                                       None          L1 or L2 hit            No    
     0.56%             1  88            LFB hit                   [.] mo_nln_matrix_mp_nlnmat_finit_                                             kernel-858.exe     [.] 0x00007fff6e081160                        [stack]                                       None          L1 or L2 hit            No    
     0.56%             1  87            L3 hit                    [.] mo_prod_loss_mp_imp_prod_loss_                                             kernel-858.exe     [.] 0x00007fff6fb5c750                        [stack]                                       None          L1 or L2 hit            No    
     0.54%             1  85            L3 hit                    [.] mo_prod_loss_mp_imp_prod_loss_                                             kernel-858.exe     [.] 0x00007fff6f7ac340                        [stack]                                       None          L1 or L2 hit            No    
